"name","total","new_cases","total_deaths","new_deaths","total_recovered","new_recovered","active_cases","critical_cases","population"
"Congo","18,837","","349 ","","12,421","","6,067","","5,707,675 "
"Iceland","17,446","+152","35 ","","15,665","+134","1,746","3","344,341 "
"Curaçao","17,374","","178 ","","17,072","","124","4","165,032 "
"Nicaragua","17,152","","209 ","","4,225","","12,718","","6,734,739 "
"Mali","17,144","","601 ","","15,070","","1,473","","21,064,583 "
"Channel Islands","17,116","","103 ","","14,938","","2,075","","176,104 "
"Tajikistan","17,095","","124 ","","16,966","","5","","9,836,750 "
"Andorra","16,712","+146","131 ","","15,770","+29","811","4","77,438 "
"Taiwan","16,566","+12","848 ","","15,590","+1","128","","23,877,093 "
"Aruba","16,263","","174 ","","15,917","","172","11","107,400 "
"Burkina Faso","15,514","","265 ","","15,009","","240","","21,703,074 "
"Brunei ","14,918","+78","97 ","","14,342","+62","479","4","443,337 "
"Equatorial Guinea","13,547","","170 ","","13,315","","62","1","1,467,258 "
"Djibouti","13,504","","186 ","","13,291","","27","","1,008,080 "
"Saint Lucia","12,927","","279 ","","12,528","","120","6","184,801 "
"South Sudan","12,717","","133 ","","12,395","","189","2","11,377,198 "
"Hong Kong","12,422","+4","213 ","","12,128","+3","81","","7,582,045 "
"New Caledonia","12,067","+34","276 ","","55","","11,736","15","289,336 "
"CAR","11,708","","101 ","","6,859","","4,748","2","4,947,088 "
"New Zealand","10,966","+177","42 ","+1","5,549","+14","5,375","64","5,002,100 "
"Isle of Man","10,895","","66 ","","10,315","","514","1","85,662 "
"Gambia","9,989","","342 ","","9,638","","9","3","2,511,396 "
"Yemen","9,977","","1,943 ","","6,804","","1,230","23","30,743,194 "
"Eritrea","7,269","","58 ","","7,019","","192","","3,615,025 "
"Gibraltar","7,092","","98 ","","6,408","","586","2","33,677 "
"Niger","6,921","","251 ","","6,514","","156","2","25,427,988 "
"Cayman Islands","6,599","+140","4 ","","2,463","+148","4,132","27","66,801 "
"Guinea-Bissau","6,438","","146 ","","6,250","","42","","2,032,935 "
"Sierra Leone","6,400","","121 ","","N/A","N/A","N/A","","8,203,539 "
"Grenada","5,884","+4","200 ","","5,622","","62","","113,252  "
"Liberia","5,821","","287 ","","5,523","","11","2","5,223,636 "
"Dominica","5,819","","37 ","","5,396","","386","","72,236 "
"San Marino","5,790","","93 ","","5,519","","178","2","34,031 "
"Bermuda","5,730","","106 ","","5,603","","21","2","61,956 "
"St. Vincent Grenadines","5,469","","74 ","","4,907","","488","7","111,433 "
"Chad","5,105","","175 ","","4,874","","56","","17,083,446 "
"Sint Maarten","4,573","","75 ","","4,475","","23","10","43,557 "
"Comoros","4,482","+4","150 ","","4,259","+5","73","","895,469 "
"Liechtenstein","4,413","+54","61 ","","3,958","+61","394","8","38,281 "
"Antigua and Barbuda","4,141","","117 ","","4,000","","24","11","99,063 "
"Saint Martin","3,949","","56 ","","1,399","","2,494","7","39,587 "
"Sao Tome and Principe","3,731","","56 ","","3,675","","0","","224,844 "
"Monaco","3,669","","36 ","","3,489","","144","1","39,631 "
"Faeroe Islands","3,408","+71","13 ","","3,015","+75","380","7","49,123 "
"Turks and Caicos","3,093","+1","24 ","+1","3,020","","49","","39,449 "
"Caribbean Netherlands","2,825","","22 ","","2,591","","212","","26,564 "
"Saint Kitts and Nevis","2,777","","28 ","","2,723","","26","1","53,725 "
